,Subject,Electrode,Frequency,PSD
177,1,3,18,1.3790167726816882e-10
178,1,3,19,1.3666578195160586e-10
179,1,3,20,1.3538506658551503e-10
180,1,3,21,1.3341785969670631e-10
181,1,3,22,1.3175979606393802e-10
182,1,3,23,1.314137862390848e-10
183,1,3,24,1.2974753450678759e-10
184,1,3,25,1.273375423719549e-10
185,1,3,26,1.2854201005868468e-10
186,1,3,27,1.2641293693586715e-10
187,1,3,28,1.2491995703903014e-10
188,1,3,29,1.2240750329317484e-10
189,1,3,30,1.2036449280940175e-10
190,1,3,31,1.1827879054081504e-10
191,1,3,32,1.1678813478180568e-10
192,1,3,33,1.1117636167777518e-10
193,1,3,34,1.0975513195839377e-10
194,1,3,35,1.0910799286868324e-10
195,1,3,36,1.1049483298908775e-10
196,1,3,37,1.1139394069734158e-10
197,1,3,38,1.1402279309965482e-10
198,1,3,39,1.1614851987523352e-10
199,1,3,40,1.1822155188486297e-10
200,1,3,41,1.2185841187004565e-10
201,1,3,42,1.2328846941731767e-10
202,1,3,43,1.264660912601054e-10
203,1,3,44,1.2675050756459773e-10
204,1,3,45,1.2642234857115025e-10
205,1,3,46,1.2149711274425742e-10
206,1,3,47,1.1010212076603781e-10
207,1,3,48,1.0431218961434142e-10
208,1,3,49,1.0100446016948695e-10
209,1,3,50,9.656832829397876e-11
210,1,3,51,9.304464640197112e-11
211,1,3,52,8.97298172317376e-11
212,1,3,53,8.672256449167555e-11
213,1,3,54,9.329185269660541e-11
214,1,3,55,9.441807164568625e-11
215,1,3,56,9.254091418287568e-11
216,1,3,57,9.221723189234066e-11
217,1,3,58,9.031648123284967e-11
218,1,3,59,8.925444343813228e-11
219,1,3,60,8.753445269922248e-11
220,1,3,61,8.526716957754993e-11
221,1,3,62,8.418053630763367e-11
222,1,3,63,8.306586018848626e-11
223,1,3,64,8.31990249892029e-11
224,1,3,65,8.143792124746448e-11
225,1,3,66,8.052661068513879e-11
226,1,3,67,8.073625324607739e-11
227,1,3,68,7.967320315445882e-11
228,1,3,69,7.842021964978253e-11
229,1,3,70,7.636665012885767e-11
230,1,3,71,7.487405146010205e-11
231,1,3,72,7.301176022698742e-11
232,1,3,73,7.246866189703309e-11
233,1,3,74,7.265573182980038e-11
234,1,3,75,7.147906878330098e-11
235,1,3,76,6.93502153483886e-11
236,1,3,77,6.902931907858276e-11
237,1,3,78,6.648369667940407e-11
238,1,3,79,6.57020316979258e-11
239,1,3,80,6.479391375902233e-11
240,1,4,1,2.1914537306227592e-09
241,1,4,2,2.0414579168546064e-09
242,1,4,3,1.5458870782588096e-09
243,1,4,4,1.3983446994102922e-09
244,1,4,5,8.107475484621668e-10
245,1,4,6,5.979524909987585e-10
246,1,4,7,4.660276982690395e-10
247,1,4,8,3.6970938369909223e-10
248,1,4,9,3.2208735686214964e-10
249,1,4,10,2.753683614484548e-10
250,1,4,11,2.3540257508266117e-10
251,1,4,12,2.0124353201985152e-10
252,1,4,13,1.8001343863247958e-10
253,1,4,14,1.6155023441061925e-10
254,1,4,15,1.3764988329957548e-10
255,1,4,16,1.1876315984652548e-10
256,1,4,17,1.0945478338679004e-10
257,1,4,18,1.0469335474163626e-10
258,1,4,19,1.045155464960602e-10
259,1,4,20,1.0467524302636874e-10
260,1,4,21,1.0422331040802915e-10
261,1,4,22,1.0234226982824268e-10
262,1,4,23,9.83181069726381e-11
263,1,4,24,9.330220651633485e-11
264,1,4,25,9.084722764612339e-11
265,1,4,26,9.146388165150703e-11
266,1,4,27,8.821258403235132e-11
267,1,4,28,8.131090270688746e-11
268,1,4,29,7.551039757584815e-11
269,1,4,30,7.104197483374243e-11
270,1,4,31,6.697960603972485e-11
271,1,4,32,6.228743614627498e-11
272,1,4,33,5.389156604425393e-11
273,1,4,34,4.692553310159275e-11
274,1,4,35,4.46659532226433e-11
275,1,4,36,4.3252600637565646e-11
276,1,4,37,4.1457275726748694e-11
277,1,4,38,4.060775208457281e-11
278,1,4,39,4.0331134046626575e-11
279,1,4,40,3.981151815337308e-11
280,1,4,41,3.9498303609702475e-11
281,1,4,42,3.847480528120542e-11
282,1,4,43,3.813789319580848e-11
283,1,4,44,3.7588743620402715e-11
284,1,4,45,3.7384783267425934e-11
285,1,4,46,3.6105870267790384e-11
286,1,4,47,3.199886730353261e-11
287,1,4,48,3.042133091606009e-11
288,1,4,49,3.0050643076374463e-11
289,1,4,50,2.8698958105490164e-11
290,1,4,51,2.79399629028007e-11
291,1,4,52,2.7765835103242006e-11
292,1,4,53,2.7942035097326434e-11
293,1,4,54,3.023974036107958e-11
294,1,4,55,3.1264651625093836e-11
295,1,4,56,3.083663775254082e-11
296,1,4,57,3.0546762841848165e-11
297,1,4,58,3.043293675799192e-11
298,1,4,59,2.968444091320196e-11
299,1,4,60,2.8518244291981217e-11
300,1,4,61,2.7678395572436674e-11
301,1,4,62,2.7320041930690408e-11
302,1,4,63,2.6510332177629416e-11
303,1,4,64,2.584428350081357e-11
304,1,4,65,2.5494508072598717e-11
305,1,4,66,2.4688915785213786e-11
306,1,4,67,2.4307990742828085e-11
307,1,4,68,2.4033347507541312e-11
308,1,4,69,2.4163965184256587e-11
309,1,4,70,2.4016536291204898e-11
310,1,4,71,2.4189873687220448e-11
311,1,4,72,2.3849987048693304e-11
312,1,4,73,2.3584857300010343e-11
313,1,4,74,2.292622585979982e-11
314,1,4,75,2.2653261736511416e-11
315,1,4,76,2.251151957335748e-11
316,1,4,77,2.176542876358866e-11
317,1,4,78,2.1064177589826522e-11
318,1,4,79,2.0461527025828307e-11
319,1,4,80,2.015140158260403e-11
320,1,5,1,1.5902054619849089e-09
321,1,5,2,1.472165225250872e-09
322,1,5,3,1.1154292935496896e-09
323,1,5,4,1.026186745768519e-09
324,1,5,5,5.992067045712961e-10
325,1,5,6,4.6486187710584283e-10
326,1,5,7,3.6033136683230237e-10
327,1,5,8,3.048087364530366e-10
328,1,5,9,2.813212917091182e-10
329,1,5,10,2.530132870661898e-10
330,1,5,11,2.195594865719585e-10
331,1,5,12,1.8952535891378543e-10
332,1,5,13,1.67961573318305e-10
333,1,5,14,1.4681126523168655e-10
334,1,5,15,1.2176797532949466e-10
335,1,5,16,1.018295167084837e-10
336,1,5,17,9.147884276955457e-11
337,1,5,18,8.74287355227528e-11
338,1,5,19,8.665043423489928e-11
339,1,5,20,8.679651029531147e-11
340,1,5,21,8.67814278825882e-11
341,1,5,22,8.424517646512362e-11
342,1,5,23,8.01992774588296e-11
343,1,5,24,7.34663954604405e-11
344,1,5,25,6.779924240860165e-11
345,1,5,26,6.232370105042315e-11
346,1,5,27,5.585991371086568e-11
347,1,5,28,4.855222216493495e-11
348,1,5,29,4.2058924885802334e-11
349,1,5,30,3.810418263982366e-11
350,1,5,31,3.4975932362455955e-11
351,1,5,32,3.1625264083512056e-11
352,1,5,33,2.79964944273275e-11
353,1,5,34,2.489037925776108e-11
354,1,5,35,2.3100041912386966e-11
355,1,5,36,2.1953317118988885e-11
356,1,5,37,2.109493097147423e-11
357,1,5,38,2.0323957264891282e-11
358,1,5,39,1.9632888056303413e-11
359,1,5,40,1.9080172788756612e-11
360,1,5,41,1.8966786342923704e-11
361,1,5,42,1.8779988330342192e-11
362,1,5,43,1.8825254182977187e-11
363,1,5,44,1.864378731155041e-11
364,1,5,45,1.864637653951168e-11
365,1,5,46,1.8146670111887797e-11
366,1,5,47,1.6577703103104688e-11
367,1,5,48,1.587417432220243e-11
368,1,5,49,1.590289043913111e-11
369,1,5,50,1.5666302387645066e-11
370,1,5,51,1.5374085236439365e-11
371,1,5,52,1.4882990556252636e-11
372,1,5,53,1.4808035563564195e-11
373,1,5,54,1.5789388167817973e-11
374,1,5,55,1.5712389711606494e-11
375,1,5,56,1.5235564576512374e-11
376,1,5,57,1.4716874256560336e-11
377,1,5,58,1.42539501376155e-11
378,1,5,59,1.3577135135780628e-11
379,1,5,60,1.3101768189541115e-11
380,1,5,61,1.2863890520828595e-11
381,1,5,62,1.2733253475117848e-11
382,1,5,63,1.262856782449197e-11
383,1,5,64,1.2316443875040537e-11
384,1,5,65,1.2074272881921933e-11
385,1,5,66,1.1843005913760962e-11
386,1,5,67,1.1595942938014009e-11
387,1,5,68,1.1123756653202236e-11
388,1,5,69,1.111809805709317e-11
389,1,5,70,1.0811330469686795e-11
390,1,5,71,1.0455466413339519e-11
391,1,5,72,1.0163743491430677e-11
392,1,5,73,9.978200893402399e-12
393,1,5,74,9.730751977547965e-12
394,1,5,75,9.823994307652269e-12
395,1,5,76,9.600200609532604e-12
396,1,5,77,9.407522495467733e-12
397,1,5,78,9.193970399307857e-12
398,1,5,79,9.151496962778134e-12
399,1,5,80,9.277085434188861e-12
400,1,6,1,3.3286865561604435e-09
401,1,6,2,3.1251196783499177e-09
402,1,6,3,2.2738957235096137e-09
403,1,6,4,1.9523231707875053e-09
404,1,6,5,8.741491154130111e-10
405,1,6,6,6.070423546189458e-10
406,1,6,7,4.5779542457309193e-10
407,1,6,8,3.7427747511921104e-10
408,1,6,9,3.2208028288321014e-10
409,1,6,10,2.8281890383295506e-10
410,1,6,11,2.4891711623885845e-10
411,1,6,12,2.2172741530019902e-10
412,1,6,13,1.987729236964029e-10
413,1,6,14,1.775126733186629e-10
414,1,6,15,1.5266765857436408e-10
415,1,6,16,1.3397831102083562e-10
416,1,6,17,1.2118198871380545e-10
417,1,6,18,1.1596662822857583e-10
418,1,6,19,1.1483181435465084e-10
419,1,6,20,1.1339040056830813e-10
420,1,6,21,1.1299455892674857e-10
421,1,6,22,1.1039260991885613e-10
422,1,6,23,1.0608748257927938e-10
423,1,6,24,9.970737355462359e-11
424,1,6,25,9.258947311445604e-11
425,1,6,26,8.651694629024772e-11
426,1,6,27,8.124449212358167e-11
427,1,6,28,7.539781534531374e-11
428,1,6,29,6.949361304092081e-11
429,1,6,30,6.484411239918396e-11
430,1,6,31,6.167649011029797e-11
431,1,6,32,5.767045766778803e-11
432,1,6,33,5.392223589986857e-11
433,1,6,34,5.0457065012120514e-11
434,1,6,35,4.7779047697623644e-11
435,1,6,36,4.611625165806011e-11
436,1,6,37,4.565109774621387e-11
437,1,6,38,4.4451933936751015e-11
438,1,6,39,4.367020459831905e-11
439,1,6,40,4.376194097367957e-11
440,1,6,41,4.3976466680476203e-11
441,1,6,42,4.3646364729528174e-11
442,1,6,43,4.3998068769531435e-11
443,1,6,44,4.4107374036135e-11
444,1,6,45,4.294983643240802e-11
445,1,6,46,4.186178195253714e-11
446,1,6,47,3.794246834870049e-11
447,1,6,48,3.6619063681143595e-11
448,1,6,49,3.552464341430926e-11
449,1,6,50,3.441443039378782e-11
450,1,6,51,3.267897734120959e-11
451,1,6,52,3.117127528914697e-11
452,1,6,53,3.0663843741956604e-11
453,1,6,54,3.227490782792787e-11
454,1,6,55,3.2087096999768525e-11
455,1,6,56,3.1047314768382326e-11
456,1,6,57,3.057875435464698e-11
457,1,6,58,3.046191580766949e-11
458,1,6,59,3.0533308253007466e-11
459,1,6,60,3.0754748984894886e-11
460,1,6,61,3.1476845917275547e-11
461,1,6,62,3.2249426650305994e-11
462,1,6,63,3.2075743352794275e-11
463,1,6,64,3.10570049933454e-11
464,1,6,65,2.986909780860287e-11
465,1,6,66,2.8976375839987483e-11
466,1,6,67,2.8127834462628272e-11
467,1,6,68,2.6775673175691498e-11
468,1,6,69,2.6270301675878276e-11
469,1,6,70,2.5627470998982494e-11
470,1,6,71,2.5487404348922248e-11
471,1,6,72,2.5408146988343606e-11
472,1,6,73,2.5403808387697067e-11
473,1,6,74,2.5278737533615677e-11
474,1,6,75,2.5179094873627093e-11
475,1,6,76,2.4441968999417543e-11
476,1,6,77,2.379675086305112e-11
477,1,6,78,2.3416288386347418e-11
478,1,6,79,2.2615315443714914e-11
479,1,6,80,2.2490921247138044e-11
480,1,7,1,8.70572274445758e-09
481,1,7,2,8.172170030909987e-09
482,1,7,3,5.802847210640022e-09
483,1,7,4,5.067086245209091e-09
484,1,7,5,2.7081791412818085e-09
485,1,7,6,1.6248930856676338e-09
486,1,7,7,1.0524815282067835e-09
487,1,7,8,6.959120837764568e-10
488,1,7,9,4.751560019349639e-10
489,1,7,10,3.459650107943386e-10
490,1,7,11,2.7078749207460314e-10
491,1,7,12,2.3371294791933483e-10
492,1,7,13,2.0385901351588393e-10
493,1,7,14,1.73953659820618e-10
494,1,7,15,1.5114757551776064e-10
495,1,7,16,1.3723654461276868e-10
496,1,7,17,1.259525869702279e-10
497,1,7,18,1.1823120021032691e-10
498,1,7,19,1.1442600306437804e-10
499,1,7,20,1.1487251773080343e-10
500,1,7,21,1.1242025083489782e-10
501,1,7,22,1.1347806454956994e-10
502,1,7,23,1.1144819494729686e-10
503,1,7,24,1.0908327483203408e-10
504,1,7,25,1.0640787446218246e-10
505,1,7,26,1.0575688857834298e-10
506,1,7,27,1.0647420380030438e-10
507,1,7,28,1.0381190849112662e-10
508,1,7,29,1.0059172992744193e-10
509,1,7,30,9.857393770288843e-11
510,1,7,31,9.480263518896923e-11
511,1,7,32,9.12053703235536e-11
512,1,7,33,8.699743450417588e-11
513,1,7,34,8.240441072097012e-11
514,1,7,35,8.120160717900636e-11
515,1,7,36,8.192970112506747e-11
516,1,7,37,8.33102442888675e-11
517,1,7,38,8.73283986060625e-11
518,1,7,39,8.847885937131478e-11
519,1,7,40,9.149616233657857e-11
520,1,7,41,9.648961602833995e-11
521,1,7,42,9.927401167166671e-11
522,1,7,43,9.938058045961247e-11
523,1,7,44,9.766087006227114e-11
524,1,7,45,9.281247071156837e-11
525,1,7,46,8.96882538503116e-11
526,1,7,47,8.058765819293588e-11
527,1,7,48,7.750644550063668e-11
528,1,7,49,7.534951142104649e-11
529,1,7,50,7.241783925303361e-11
530,1,7,51,7.062151147862067e-11
531,1,7,52,7.110955595988126e-11
532,1,7,53,6.912859451718648e-11
533,1,7,54,7.515025598419558e-11
534,1,7,55,7.442109903312855e-11
535,1,7,56,7.035351775105945e-11
536,1,7,57,6.723152628703462e-11
537,1,7,58,6.45020846514911e-11
538,1,7,59,6.432196169053339e-11
539,1,7,60,6.357367178324977e-11
540,1,7,61,6.304385423008734e-11
541,1,7,62,6.322722278745199e-11
542,1,7,63,6.331619392059309e-11
543,1,7,64,6.139182385512198e-11
544,1,7,65,6.088019176452928e-11
545,1,7,66,6.042466875542659e-11
546,1,7,67,5.710861015122291e-11
547,1,7,68,5.446069674850191e-11
548,1,7,69,5.382665796861904e-11
549,1,7,70,5.29962853961074e-11
550,1,7,71,5.2861501007484976e-11
551,1,7,72,5.195035271423408e-11
552,1,7,73,5.0857730964259867e-11
553,1,7,74,5.123930813246828e-11
554,1,7,75,5.327664968130077e-11
555,1,7,76,5.243353798237388e-11
556,1,7,77,5.270618524203007e-11
557,1,7,78,5.5054040631837335e-11
558,1,7,79,5.918044981043078e-11
559,1,7,80,6.399813532045022e-11
560,1,8,1,2.1193816367688254e-09
561,1,8,2,1.9581698769170316e-09
562,1,8,3,1.464936364226072e-09
563,1,8,4,1.323346767362758e-09
564,1,8,5,7.642211341889971e-10
565,1,8,6,5.422345016271938e-10
566,1,8,7,4.0738908780069933e-10
567,1,8,8,3.079219276087244e-10
568,1,8,9,2.492350839790398e-10
569,1,8,10,2.0333375777422691e-10
570,1,8,11,1.7509167251625021e-10
571,1,8,12,1.5547259182567197e-10
572,1,8,13,1.4371560458002142e-10
573,1,8,14,1.316851588590118e-10
574,1,8,15,1.1454619641512797e-10
575,1,8,16,9.963889802208439e-11
576,1,8,17,9.506455563140448e-11
577,1,8,18,9.061980182705002e-11
578,1,8,19,9.024358517509568e-11
579,1,8,20,9.03281704296429e-11
580,1,8,21,8.813982031104352e-11
581,1,8,22,8.774880536164815e-11
582,1,8,23,8.545089277446638e-11
583,1,8,24,8.137606318359476e-11
584,1,8,25,7.789213850255983e-11
585,1,8,26,7.526752714106551e-11
586,1,8,27,7.051438458634905e-11
587,1,8,28,6.697770904992586e-11
588,1,8,29,6.393904624981603e-11
589,1,8,30,6.07174423774705e-11
590,1,8,31,5.803233063101352e-11
591,1,8,32,5.4895936391993634e-11
592,1,8,33,5.1128627651471176e-11
593,1,8,34,4.8972158142507876e-11
594,1,8,35,4.7617604777901734e-11
595,1,8,36,4.643418156350333e-11
596,1,8,37,4.402817488749324e-11
597,1,8,38,4.1587939427841835e-11
598,1,8,39,3.9986955122271204e-11
599,1,8,40,3.850725609365108e-11
600,1,8,41,3.839216971510513e-11
601,1,8,42,3.7554394112383704e-11
602,1,8,43,3.736109998804375e-11
603,1,8,44,3.706793554748283e-11
604,1,8,45,3.7180259901712955e-11
605,1,8,46,3.6954987729779354e-11
606,1,8,47,3.430993119501707e-11
607,1,8,48,3.391440189643195e-11
608,1,8,49,3.346423475257362e-11
609,1,8,50,3.2764713714157114e-11
610,1,8,51,3.243043415583058e-11
611,1,8,52,3.215803960422054e-11
612,1,8,53,3.207497224046846e-11
613,1,8,54,3.4055496667430666e-11
614,1,8,55,3.49275494838048e-11
615,1,8,56,3.590576595713215e-11
616,1,8,57,3.6573867552720165e-11
617,1,8,58,3.704443980571341e-11
618,1,8,59,3.7018096820624073e-11
619,1,8,60,3.750365904825754e-11
620,1,8,61,3.922739926160514e-11
621,1,8,62,3.962740850381389e-11
622,1,8,63,3.8849259040788236e-11
623,1,8,64,3.7732444432213597e-11
624,1,8,65,3.836410264660048e-11
625,1,8,66,3.858650837780937e-11
626,1,8,67,3.754892404951914e-11
627,1,8,68,3.614602888213483e-11
628,1,8,69,3.4592232106502996e-11
629,1,8,70,3.252710090169797e-11
630,1,8,71,3.079075726871026e-11
631,1,8,72,2.8797331897928127e-11
632,1,8,73,2.7901234510270088e-11
633,1,8,74,2.730403580781153e-11
634,1,8,75,2.644550851297104e-11
635,1,8,76,2.5959178141171106e-11
636,1,8,77,2.6253685872659575e-11
637,1,8,78,2.6577150851104052e-11
638,1,8,79,2.6966349683499024e-11
639,1,8,80,2.8097939397958894e-11
640,1,9,1,1.6807297756776995e-09
641,1,9,2,1.541077724900226e-09
642,1,9,3,1.1926320350199025e-09
643,1,9,4,1.1024270104890004e-09
644,1,9,5,6.90922426607366e-10
645,1,9,6,5.254322596681542e-10
646,1,9,7,3.9936787842455476e-10
647,1,9,8,3.3610500810266764e-10
648,1,9,9,3.106805338656544e-10
649,1,9,10,2.7835381958969886e-10
650,1,9,11,2.4233591884902107e-10
651,1,9,12,2.1173395717928248e-10
652,1,9,13,1.895187438965832e-10
653,1,9,14,1.6351511445401843e-10
654,1,9,15,1.328348163439518e-10
655,1,9,16,1.0628114026883399e-10
656,1,9,17,9.146014275287733e-11
657,1,9,18,8.401146649960967e-11
658,1,9,19,8.034212631081868e-11
659,1,9,20,7.914032575864125e-11
660,1,9,21,7.841395188385915e-11
661,1,9,22,7.589107341305495e-11
662,1,9,23,7.360336291432229e-11
663,1,9,24,6.907567594937893e-11
664,1,9,25,6.57064702429314e-11
665,1,9,26,6.135583860664047e-11
666,1,9,27,5.5951908692292704e-11
667,1,9,28,4.874195564965869e-11
668,1,9,29,4.3167855165651054e-11
669,1,9,30,3.820928822239329e-11
670,1,9,31,3.377047460788499e-11
671,1,9,32,2.949709409082681e-11
672,1,9,33,2.6012901287086596e-11
673,1,9,34,2.279773644780561e-11
674,1,9,35,2.1180358907709962e-11
675,1,9,36,2.018549660394409e-11
676,1,9,37,1.9429332713169423e-11
677,1,9,38,1.875375114985159e-11
678,1,9,39,1.822770732609198e-11
679,1,9,40,1.785047011259353e-11
680,1,9,41,1.7935993481579152e-11
681,1,9,42,1.786244464081047e-11
682,1,9,43,1.7653687415475633e-11
683,1,9,44,1.7499923587883887e-11
684,1,9,45,1.7720478756316417e-11
685,1,9,46,1.742671559510699e-11
686,1,9,47,1.5853872368826808e-11
687,1,9,48,1.51790094038318e-11
688,1,9,49,1.5072977780067906e-11
689,1,9,50,1.484399109127293e-11
690,1,9,51,1.5122801048117794e-11
691,1,9,52,1.5205945535602865e-11
692,1,9,53,1.5228819544548877e-11
693,1,9,54,1.6673732577743085e-11
694,1,9,55,1.7202971307656913e-11
695,1,9,56,1.6817502065343984e-11
696,1,9,57,1.617674939302031e-11
697,1,9,58,1.537500100283958e-11
698,1,9,59,1.4358717961118893e-11
699,1,9,60,1.3635106557538889e-11
700,1,9,61,1.305233325595037e-11
701,1,9,62,1.2489914899937176e-11
702,1,9,63,1.2270250800260986e-11
703,1,9,64,1.1847029672002701e-11
704,1,9,65,1.1747933603788882e-11
705,1,9,66,1.163985685774505e-11
706,1,9,67,1.1193142133866327e-11
707,1,9,68,1.0629009924086995e-11
708,1,9,69,1.0804754740732586e-11
709,1,9,70,1.0736089490355529e-11
710,1,9,71,1.0560673623470361e-11
711,1,9,72,1.0489348507013695e-11
712,1,9,73,1.0339828712858042e-11
713,1,9,74,1.0130361926041783e-11
714,1,9,75,1.0135148345591278e-11
715,1,9,76,9.800025011115229e-12
